19         = NAB = no. of Historic Abundance Estimates
2015       = I2SYR  = YEAR OF FIRST GENERATED SURVEY
IYR  K=TARA CONEST   TARVAR    SIGHT  CVCSLA    ProRated TTYPE  Area  CONEST= abundance for conditioning (baseline);
2007    1   10105    0.4       10105   0.4       10105     1     EC   SIGHT = estimate for use by CLC.
1987    2    1096    0.532      1096   0.35       1096     1     WG   Prorated = Alternative for conditioning (Used if OPTSGT=1)
2005    2    3234    0.595      3234   0.44       3234     1     WG   TTYPE = -2 and -3: combine these for Hyp 7 & 8
2007    2    4359    0.602      4359   0.45       4359     1     WG
1988    3    5269    0.334      5269   0.221      5269     -2    EG
1988    4    4243    0.229      4243   0.229      4243     -3    WI
1995    3    8412    0.381      8412   0.288     10152     -2    EG
1995    4    6800    0.218      6800   0.218      7363     -3    WI
2001    3   11706    0.316     11706   0.194     14225     -2    EG
2001    4    6565    0.194      6565   0.194      7430     -3    WI
2007    3   12215    0.320     12215   0.20      15847     -2    EG
2007    4    8118    0.26       8118   0.26       8898     -3    WI
1987    5    5261    0.707      5261   0.277      5261     1     EI/F
1995    5    6647    0.711      6647   0.288      7170     1     EI/F
2001    5    7490    0.698      7490   0.255      9555     1     EI/F
2007    5    1613    0.700      1613   0.26       2466     1     EI/F
1995    6    3964    0.21       3964   0.21       3964     1     N
1999    6    3749    0.24       3749   0.24       3749     1     N
1989    7   17355    0.265     17355   0.265     17355     1     N/SP

Pattern of past & future surveys.  Note: assess every 6 years starting in 2015 
Read into RUNSUR(IYR,KA)   0=No,  1=Yes,  2+=2+yr Combination set in IYR & recorded as mean year
Area:  1  2  3  4  5  6  7    8    9   10   11     12     Assess
      EC WG EG WI EI  N  SP  3+4 3+4+5 3+4 3+4+5  3+4+5
1985   0  0  0  0  0  0  0    0    0    0    0      0        0
1986   0  0  0  0  0  0  0    0    0    0    0      0        0
1987   0  1  0  0  1  0  0    0    0    0    0      0        0
1988   0  0  1  1  0  0  0    1    2    1    2      2        0
1989   0  0  0  0  0  0  1    0    0    0    0      0        0
1990   0  0  0  0  0  0  0    0    0    0    0      0        0
1991   0  0  0  0  0  0  0    0    0    0    0      0        0
1992   0  0  0  0  0  0  0    0    0    0    0      0        0
1993   0  0  0  0  0  0  0    0    0    0    0      0        0
1994   0  0  0  0  0  0  0    0    0    0    0      0        0
1995   0  0  1  1  1  1  0    1    1    1    1      1        0
1996   0  0  0  0  0  0  0    0    0    0    0      0        0
1997   0  0  0  0  0  0  0    0    0    0    0      0        0
1998   0  0  0  0  0  0  0    0    0    0    0      0        0
1999   0  0  0  0  0  1  0    0    0    0    0      0        0
2000   0  0  0  0  0  0  0    0    0    0    0      0        0
2001   0  0  1  1  1  0  0    1    1    1    1      1        0
2002   0  0  0  0  0  0  0    0    0    0    0      0        0
2003   0  0  0  0  0  0  0    0    0    0    0      0        0
2004   0  0  0  0  0  0  0    0    0    0    0      0        0
2005   0  1  0  0  0  0  0    0    0    0    0      0        0
2006   0  0  0  0  0  0  0    0    0    0    0      0        0
2007   1  1  1  1  1  0  0    1    1    1    1      1        0
2008   0  0  0  0  0  0  0    0    0    0    0      0        0
2009   0  0  0  0  0  0  0    0    0    0    0      0        0
2010   0  0  0  0  0  0  0    0    0    0    0      0        0
2011   0  0  0  0  0  0  0    0    0    0    0      0        0
2012   0  0  0  0  0  0  0    0    0    0    0      0        0
2013   0  0  0  0  0  0  0    0    0    0    0      0        0
2014   0  0  0  0  0  0  0    0    0    0    0      0        0
2015   0  0  1  1  1  0  0    1    1    1    1      1        1
2016   0  0  0  0  0  0  0    0    0    0    0      0        0
2017   0  0  0  0  0  0  0    0    0    0    0      0        0
2018   0  0  0  0  0  0  0    0    0    0    0      0        0
2019   0  0  0  0  0  0  0    0    0    0    0      0        0
2020   0  0  0  0  0  0  0    0    0    0    0      0        0
2021   0  0  1  1  1  0  0    1    1    1    1      1        1
2022   0  0  0  0  0  0  0    0    0    0    0      0        0
2023   0  0  0  0  0  0  0    0    0    0    0      0        0
2024   0  0  0  0  0  0  0    0    0    0    0      0        0
2025   0  0  0  0  0  0  0    0    0    0    0      0        0
2026   0  0  0  0  0  0  0    0    0    0    0      0        0
2027   0  0  1  1  1  0  0    1    1    1    1      1        1
2028   0  0  0  0  0  0  0    0    0    0    0      0        0
