        1       2       3       4       5       5       5       6       6       6       7       2       3       4       5       6       4       6
Year	Canada	Glnd W	Glnd E	IcelndW	IcelndE	Faroes	UK	Spits	NorN	NorW	Spain 	WG	EG	WI	EI	N	WI ??	N??
1864	0	0	0	0	0	0	0	0	4	0	0     	0	0	0	0	0	0	0
1865	0	0	0	0	8	0	0	0	0	0	0     	0	0	0	0	0	0	0
1866	0	0	0	0	24	0	0	0	0	0	0     	0	0	0	0	0	0	0
1867	0	0	0	0	19	0	0	0	1	0	0     	0	0	0	0	0	0	0
1868	0	0	0	0	2	0	0	0	10	0	0     	0	0	0	0	0	0	0
1869	0	0	0	0	0	0	0	0	17	0	0     	0	0	0	0	0	0	0
1870	0	0	0	0	0	0	0	0	36	0	0     	0	0	0	0	0	0	0
1871	0	0	0	0	5	0	0	0	20	0	0     	0	0	0	0	0	0	0
1872	0	0	0	0	0	0	0	0	17	0	0     	0	0	0	0	0	0	0
1873	0	0	0	0	0	0	0	0	16	0	0     	0	0	0	0	0	0	0
1874	0	0	0	0	0	0	0	0	22	0	0     	0	0	0	0	0	0	0
1875	0	0	0	0	0	0	0	0	17	0	0     	0	0	0	0	0	0	0
1876	0	0	0	0	0	0	0	0	4	0	0     	0	0	0	0	0	0	0
1877	0	0	0	0	0	0	0	0	10	0	0     	0	0	0	0	0	0	0
1878	0	0	0	0	0	0	0	0	100	0	0     	0	0	0	0	0	0	0
1879	0	0	0	0	0	0	0	0	52	0	0     	0	0	0	0	0	0	0
1880	0	0	0	0	0	0	0	0	65	0	0     	0	0	0	0	0	0	0
1881	0	0	0	0	0	0	0	0	68	0	0     	0	0	0	0	0	0	0
1882	0	0	0	0	0	0	0	0	366	0	0     	0	0	0	0	0	0	0
1883	0	0	0	0	0	0	0	0	316	0	0     	0	0	0	0	0	0	0
1884	0	0	0	3	0	0	0	0	338	0	0     	0	0	0	0	0	0	0
1885	0	0	0	18	0	0	0	0	612	0	0     	0	0	0	0	0	0	0
1886	0	0	0	14	0	0	0	0	867	0	0     	0	0	0	0	0	0	0
1887	0	0	0	28	0	0	0	0	627	0	0     	0	0	0	0	0	0	0
1888	0	0	0	47	0	0	0	0	509	0	0     	0	0	0	0	0	0	0
1889	0	0	0	86	0	0	0	0	509	0	0     	0	0	0	0	0	0	0
1890	0	0	0	105	0	0	0	4	481	0	0     	0	0	0	0	0	0	0
1891	0	0	0	119	0	0	0	2	393	0	0     	0	0	0	0	0	0	0
1892	0	0	0	164	5	0	0	0	530	0	0     	0	0	0	0	0	0	0
1893	0	0	0	403	4	0	0	0	735	0	0     	0	0	0	0	0	0	0
1894	0	0	0	273	0	18	0	0	710	0	0     	0	0	0	0	0	0	0
1895	0	0	0	372	0	10	0	0	592	0	0     	0	0	0	0	0	0	0
1896	0	0	0	235	0	26	0	0	1051	0	0     	0	0	0	0	0	0	0
1897	0	0	0	329	0	33	0	0	608	0	0     	0	0	0	0	0	0	0
