        1       2       3       4       5       5       5       6       6       6       7       2       3       4       5       6       4       6
Year	Canada	Glnd W	Glnd E	IcelndW	IcelndE	Faroes	UK	Spits	NorN	NorW	Spain	WG	EG	WI	EI	N	WI ??	N??
1864	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
1865	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
1866	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0
1867	0	0	0	0	133	0	0	0	1	0	0	0	0	0	0	0	0	0
1868	0	0	0	0	16	0	0	0	10	0	0	0	0	0	0	0	0	0
1869	0	0	0	0	3	0	0	0	25	0	0	0	0	0	0	0	0	0
1870	0	0	0	0	3	0	0	0	52	0	0	0	0	0	0	0	0	0
1871	0	0	0	0	26	0	0	0	29	0	0	0	0	0	0	0	0	0
1872	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
1873	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
1874	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
1875	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
1876	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
1877	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
1878	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0
1879	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0
1880	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0
1881	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0
1882	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	0	0
1883	0	0	0	0	2	0	0	0	498	0	0	0	0	0	0	0	0	0
1884	0	0	0	3	0	0	0	0	488	0	0	0	0	0	0	0	0	0
1885	0	0	0	48	0	0	0	0	707	0	0	0	0	0	0	0	0	0
1886	0	0	0	38	0	0	0	0	1011	0	0	0	0	0	0	0	0	0
