Year	ECMal	ECFem.	WGMale	WGFem.	EGMale	EGFem.	WIMale	WIFem.	EIFMal	EIFFem.	NMale	NFem.	SpMale	SpFem.
1864	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1865	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1867	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1868	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1869	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1870	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1871	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1873	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1874	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1876	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1877	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1878	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1879	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1880	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885	0	0	0	0	0	0	0	0	0	0	12	8	0	0
1886	0	0	0	0	0	0	0	0	0	0	15	22	0	0
1887	0	0	0	0	0	0	0	0	0	0	6	14	0	0
1888	0	0	0	0	0	0	0	0	0	0	11	10	0	0
1889	0	0	0	0	0	0	0	0	0	0	10	7	0	0
1890	0	0	0	0	0	0	0	0	0	0	17	19	0	0
1891	0	0	0	0	0	0	0	0	0	0	9	21	0	0
1892	0	0	0	0	0	0	0	0	0	0	22	22	0	0
1893	0	0	0	0	0	0	0	0	0	0	20	9	0	0
1894	0	0	0	0	0	0	0	0	0	0	10	12	0	0
1895	0	0	0	0	0	0	0	0	0	0	1	4	0	0
1896	0	0	0	0	0	0	0	0	0	0	20	16	0	0
1897	0	0	0	0	0	0	0	0	0	0	8	5	0	0
1898	0	0	0	0	0	0	0	0	0	0	10	11	0	0
1899	0	0	0	0	0	0	0	0	0	0	4	4	0	0
1900	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1901	0	0	0	0	0	0	0	0	0	0	13	10	0	0
1902	0	0	0	0	0	0	0	0	0	0	13	7	0	0
1903	0	0	0	0	0	0	0	0	0	0	10	10	0	0
1904	0	0	0	0	0	0	6	15	238	210	0	0	0	0
1905	0	0	0	0	0	0	0	0	291	262	0	0	0	0
1906	0	0	0	0	0	0	0	0	101	121	0	0	0	0
1907	0	0	0	0	0	0	0	0	91	93	0	0	0	0
1908	0	0	0	0	0	0	0	0	428	416	0	0	0	0
1909	0	0	0	0	0	0	0	0	528	601	0	0	0	0
1910	0	0	0	0	0	0	10	11	474	507	0	0	0	0
1911	0	0	0	0	0	0	10	10	410	437	0	0	0	0
1912	0	0	0	0	0	0	0	0	209	225	0	0	0	0
1913	0	0	0	0	0	0	0	0	237	225	0	0	0	0
1914	0	0	0	0	0	0	10	10	283	231	0	0	0	0
